headline,text,answer_summary
Писториус: у Германии почти не осталось запасов для Украины,"Почти не осталось запасов вооружения и техники, которые Германия могла бы передать Украине, заявил министр обороны ФРГ Борис Писториус. По его словам, необходимо провести проверку оставшихся резервов. «Нужно посмотреть на имеющиеся запасы, чтобы понять, что мы можем сделать, и, если ничего не осталось, что можно было бы предоставить Украине. Речь идет о предоставлении денег. Так же, как мы делали в прошлом году», — сказал он. Германия входит в число крупнейших доноров военной помощи Киеву. По данным Кильского института мировой экономики, в 2025 году Берлин выделил Украине помощь почти на 28 млрд долларов. Из этой суммы 22,42 млрд долларов составили военные ассигнования, 1,65 млрд — финансовая помощь и 3,91 млрд — гуманитарная. ФРГ поставляла Украине танки Leopard 1A5, боевые машины пехоты Marder, зенитно-ракетные комплексы Patriot, боеприпасы для Gepard, радиолокационные станции TRML-4D, снаряды калибра 155 мм, дроны и другое оборудование. Поставки осуществлялись как из собственных запасов, так и за счет финансирования закупок для ВСУ. В Кремле ранее заявляли, что поставки оружия и финансирование Украины затягивают конфликт. Ранее лидер французской партии «Вставай, Франция» Николя Дюпон-Эньян раскритиковал одобрение Европейским союзом кредита Украине на 90 млрд евро на 2026–2027 годы. Он заявил, что этот долг ляжет дополнительной нагрузкой на Францию. Европарламент утвердил предоставление кредита, из которых 60 млрд евро планируется направить на военную помощь.",у Германии почти не осталось запасов для Украины
Бортник: референдум по новой конституции обойдется Казахстану в $42 млн,"Член Центральной комиссии референдума Михаил Бортник сообщил, что предварительная стоимость проведения референдума по проекту новой конституции Казахстана составляет 20,8 миллиарда тенге (около 42 млн долларов). 11 февраля президент страны Касым-Жомарт Токаев подписал указ о проведении референдума 15 марта 2026 года. По словам Бортника, запланированные расходы не предусмотрены республиканским бюджетом на 2026 год, поэтому средства будут выделены из резервного фонда правительства. Чиновник уточнил, что около 75% этой суммы будет направлено на оплату работы членов участковых комиссий. Он добавил, что в ближайшее время правительство Казахстана определит точную стоимость проведения голосования. Ранее сообщалось, что в проект новой Конституции Казахстана внесены изменения в формулировку, касающуюся использования русского языка.",референдум по новой конституции обойдется Казахстану в $42 млн
Рар: у Меркель очень высокие шансы стать новым президентом Германии,"Немецкий политолог Александр Рар оценил шансы экс-канцлера Германии Ангелы Меркель занять пост президента страны. Ранее немецкие СМИ сообщили о том, что в окружении главы правительства ФРГ Фридриха Мерца обеспокоены слухами о выдвижении Меркель на пост президента. В публикациях отмечалось, что ее кандидатуру могут предложить «Зеленые». «В Германии президент страны избирается Федеративным собранием, который состоит из двух палат парламента. Если посмотреть на состав этого Федеративного собрания, то правящий блок партий Христианско-демократический союз (ХДС) и Христианский социальный союз (ХСС), а также социал-демократы (СДПГ) не имеют там большинства. Для того, чтобы выдвинуть своего кандидата в президенты, понадобятся дополнительные голоса или поддержка хотя бы другой партии, например, «Зеленых» или левых», — сказал Рар. Поэтому, констатировал политолог, логично, что Меркель, если она действительно решила баллотироваться на пост немецкого президента, сейчас ведет переговоры с «Зелеными», которые могут ее кандидатуру поддержать. «Дело в том, что в Германии царит консенсус, что следующим президентом должен быть женского пола. Таким образом, действительно, шансы у Меркель стать президентом Германии растут. У нее мало конкурентов, хотя конкуренция всегда существует», — отметил Рар. Политолог также добавил, что в Германии выдвижение Меркель многие бы позитивно оценили, как и в Европейском союзе в целом. Ангела Меркель занимала пост канцлера с 22 ноября 2005 по 8 декабря 2021 года. Она стала первой женщиной на этом посту и третьей по продолжительности правления в истории Германии. 17 июля 2024 года Меркель отметила 70-летний юбилей. В декабре 2024 года она публично поддержала лидера ХДС Фридриха Мерца как кандидата в канцлеры. Выборы президента ФРГ запланированы на февраль 2027 года. Как сообщалось, опрос компании YouGov, проведенный по заказу агентства DPA, показал, что 58% немцев поддерживают идею проведения прямых переговоров между канцлером Германии Фридрихом Мерцем и президентом РФ Владимиром Путиным по урегулированию конфликта на Украине.",у Меркель очень высокие шансы стать новым президентом Германии
Депутатов Рады обязали сдать анализы на диарею из-за вируса,"Анализы на диарею обязали сдать депутатов Верховной рады Украины после выявления вируса с кишечными симптомами. Об этом сообщили в пресс-службе парламента. По данным украинских СМИ, у части народных избранников зафиксированы признаки отравления или вирусной инфекции. Работа Верховной рады была сорвана. Во время голосования по повестке дня не удалось набрать необходимое количество голосов: из 279 парламентариев документ поддержали 204 при требуемых 226. Вице-спикер Александр Корниенко закрыл заседание до 24 февраля. Он пожелал здоровья депутатам, которые не смогли присутствовать. Депутат от фракции «Слуга народа» Николай Тищенко сообщил в своём Telegram-канале, что причиной стали проблемы со здоровьем после посещения парламентской столовой. Депутат Галина Янченко рассказала УНИАН, что пострадали несколько десятков парламентариев, у них наблюдаются повышенная температура и рвота. Ранее предполагалось, что массовое недомогание могло быть связано с отравлением в столовой Верховной рады.",Депутатов Рады обязали сдать анализы на диарею из-за вируса
Представитель МИД Франции посещал Минск 5–6 февраля,"Представитель МИД Франции Брис Рокфей посещал Минск 5–6 февраля и провёл встречи в белорусском внешнеполитическом ведомстве. Об этом сообщил пресс-секретарь МИД Белоруссии Руслан Варанков. По его словам, директор департамента континентальной Европы главного департамента по политическим вопросам и вопросам безопасности МИД Франции находился в Минске по приглашению белорусской стороны. В ходе визита французский дипломат встретился с заместителем министра иностранных дел Белоруссии Игорем Секретой, а также провёл консультации с представителями экспертно-аналитического сообщества. «Белорусская сторона поддерживает регулярные рабочие контакты как с Францией, так и с другими западными государствами. При этом диалог зачастую имеет конфиденциальный характер», — отметил Варанков. Ранее агентство Bloomberg писало, что 3 февраля Москву посетил советник президента Франции Эммануэль Бонн. В Кремле отказались подтверждать или опровергать эту информацию. После этого Эммануэль Макрон заявил о восстановлении контактов с Россией на техническом уровне. Дмитрий Песков подтвердил наличие технических контактов, уточнив, что запросов на возобновление взаимодействия на высшем уровне Москва не получала. Ранее Владимир Зеленский заявил о готовности украинской стороны вести переговоры на территории любой страны, кроме России и Белоруссии. По его словам, Киев готов поддержать предложения США и провести встречу в Америке, Европе или нейтральном государстве.",Представитель МИД Франции посещал Минск 5–6 февраля
FT: в нескольких зданиях ЕК в Брюсселе прошли обыски,"Полиция Бельгии в четверг нагрянула с обысками сразу в несколько зданий Еврокомиссии в Брюсселе. Об этом со ссылкой на источники пишет британская газета Financial Times. По словам собеседников издания, обыски прошли в рамках расследования продажи объектов недвижимости еще при бывшем еврокомиссаре Йоханнесе Хане. «Полиция Бельгии провела обыски... в четверг утром в разных зданиях Еврокомиссии в Брюсселе», – утверждает газета. В частности, обыски прошли в управлении по вопросам бюджета. Ранее стало известно, что полиция провела обыски у экс-посла Британии в США из-за связей с Эпштейном.",в нескольких зданиях ЕК в Брюсселе прошли обыски
Си Цзиньпин публично высказался о чистках в армии КНР,"Председатель КНР Си Цзиньпин, подводя итоги 2025 года заявил, что он стал «необычным и выдающимся», а армия страны «добилась успеха в политическом очищении и эффективно справилась с различными угрозами и вызовами». В распространенном в местных СМИ обращении к военным в связи с наступающим Китайским Новым годом Си Цзиньпин отметил, что ВС Китая «прошли революционную закалку в борьбе с коррупцией». Сегодня армия страны сохраняет боевую готовность, верность партии и доказывают свою надежность, подчеркнул он. Ранее издание The Wall Street Journal (WSJ), ссылаясь на представителя китайского оборонного ведомства, сообщило, что Си Цзиньпин уволил девять высокопоставленных офицеров. Среди тех, кто лишился должности, оказался один из самых влиятельных генералов страны Хэ Вэйдун.",Причина - борьба с коррупцией
"Спину держит ровно: фитнес-тренер Литовченко оценил, как Орбан жмёт гирю","Фитнес-тренер Сергей Литовченко оценил, как премьер-министр Венгрии Виктор Орбан жмёт гирю. Ранее глава венгерского правительства выложил в соцсети видеозапись короткой тренировки перед встречей с избирателями в городе Сомбатхей. На кадрах он в деловом костюме жмёт гирю и говорит сопровождающим его журналистам, что «готов к ближнему бою», если такой будет. «Техника хорошая. Широкая постановка ног, прямая спина — всё правильно. Вес гири, вероятно, не превышает 16 килограммов, скорее всего, около 12–14. В любом случае, Орбан молодец: подняли правильно, с прямой спиной», — сказал Литовченко в беседе с aif.ru. Фитнес-тренер также заметил: тот факт, что Орбану 62 года, а он поднимает гирю, свидетельствует о его отличной физической форме. «Регулярные занятия спортом — залог здоровья», — подытожил Литовченко. Напомним, Орбан резко ответил главе киевского режима Владимиру Зеленскому после того, как тот потребовал ускоренного включения Украины в Евросоюз.",Жмет хорошо
«Кровавая катастрофа». На Украине резко описали итоги контрудара Сырского,"Ситуация на передовой для Вооруженных сил Украины (ВСУ) все больше напоминает «кровавую катастрофу», а не управляемый кризис, воет украинский Telegram-канал «Резидент». По словам авторов, сейчас Банковая пытается скрыть все проблемы за счет перерисовки карт, вот только цифры говорят о совсем иной картине. Украинские авторы замечают, что вместо признания реального масштаба провалов ВСУ решили заставить молчать командиров, а публичные проблемы — прикрыть корректировками собственных карт, в том числе на одном из основных ресурсов аналитики врага Deepstate. Ранее он хоть и с задержкой признавал продвижение русской армии, теперь же будет закрашивать в серый цвет все зоны нашего продвижения. В результате это должно помочь генералам скрывать реальный масштаб провалов.","Говорится об умалчивании цифр реальных потерь, как живых, так и территориальных со стороны Украины"
"Посол РФ на Кубе Корнелли объяснил, как будут вывозить российских туристов","Авиакомпания «Россия» подтвердила готовность вывезти российских туристов с Кубы на этой и следующей неделе на фоне дефицита топлива в стране. Об этом сайту телеканала «Звезда» сообщил посол России на острове Виктор Корнелли. Он отметил, что заправка части прибывающих бортов уже гарантирована. По остальным рейсам российская сторона ожидает аналогичные гарантии. Посол рекомендовал пассажирам следить за обновлениями от авиаперевозчиков, где публикуется актуальная информация о времени вылета рейсов. В настоящий момент на Кубе находятся около трех тысяч российских туристов. Согласно последним данным, в Генеральное консульство в Гаване поступили единичные обращения граждан. В аэропортах Кубы с 10 февраля по 11 марта приостановили заправку иностранных самолетов. Это привело к временной отмене регулярных рейсов. В их число также вошли самолеты российских авиакомпаний. Ранее сообщалось, что Россия поставит Кубе партию нефти в качестве гуманитарной помощи.",Авиакомпания «Россия» подтвердила готовность вывезти российских туристов с Кубы
